"ID","CRUISEID","FILENAME","TITLE","TRAWL_UNITS","INGESTDATE","SDESVERSION","INGESTREPORT","INGEST_PGM_VER","APPEND",
10,1037,"CR771601-55.mdb","Summer SEAMAP Groundfish Survey","M","2016-08-10 17:19:30","sdes54-September 2011","AL771601.txt","SDES IMPORT v3.2","0"
11,976,"CR171403-55-DEPTHS-FIXED.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-10 16:52:43","sdes54-September 2011","MS171403.txt","SDES IMPORT v3.2","0"
12,1036,"CR171602-55.mdb","Summer SEAMAP Groundfish Survey","M","2016-08-10 17:18:32","sdes54-September 2011","FL171602.txt","SDES IMPORT v3.2","0"
13,1024,"CR171506final.mdb","Fall SEAMAP Groundfish Survey","M","2016-08-10 16:54:47","sdes54-September 2011","MS171506.txt","SDES IMPORT v3.2","0"
14,953,"CR170602-23-DEPTHS-FIXED.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-10 16:36:45","sdes23c-09/22/2006","MS170602.txt","SDES IMPORT v3.2","0"
15,957,"CR170903-44-DEPTHS-FIXED.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-11 09:32:23","sdes28-08/2007","MS170903.txt","SDES IMPORT v3.2","0"
16,946,"CR170906-50-DEPTHS-FIXED.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-10 16:34:17","sdes50-January 2009","MS170906.txt","SDES IMPORT v3.2","0"
17,959,"CR171006-53-DEPTHS-FIXED.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-10 16:47:49","sdes53-Feburary 2010","MS171006.txt","SDES IMPORT v3.2","0"
18,860,"CR171205-55-DEPTHS-FIXED.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-10 16:21:46","sdes54-September 2011","MS171205.txt","SDES IMPORT v3.2","0"
19,872,"CR171202-55-DEPTHS-FIXED.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-10 16:27:38","sdes54-September 2011","MS171202.txt","SDES IMPORT v3.2","0"
20,867,"CR171201-55-DEPTHS-FIXED.mdb","Spring SEAMAP Plankton Survey","M","2016-08-10 16:24:05","sdes54-September 2011","MS171201.txt","SDES IMPORT v3.2","0"
21,861,"CR171105-53-DEPTHS-FIXED.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-10 16:23:52","sdes53-Feburary 2010","MS171105.txt","SDES IMPORT v3.2","0"
22,935,"CR171102-53-DEPTHS-FIXED.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-10 16:30:35","sdes53-Feburary 2010","MS171102.txt","SDES IMPORT v3.2","0"
28,958,"CR171001-LEGS2_3-53-DEPTHS-FIXED.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-10 16:45:30","sdes53-Feburary 2010","MS171001.txt","SDES IMPORT v3.2","1"
27,958,"CR171001-LEG1-50-DEPTHS-FIXED.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-10 16:42:43","sdes50-January 2009","MS171001.txt","SDES IMPORT v3.2","0"
75,865,"CR171302-55.mdb","Summer SEAMAP Groundfish Survey","M","2016-08-15 09:36:32","sdes54-September 2011","FL171302.txt","SDES IMPORT v3.2","0"
76,871,"CR171203-55.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-15 10:07:02","sdes54-September 2011","FL171203.txt","SDES IMPORT v3.2","0"
77,906,"CR171305-55.mdb","Fall SEAMAP Groundfish Survey","M","2016-08-15 10:21:56","sdes54-September 2011","FL171305.txt","SDES IMPORT v3.2","0"
78,921,"CR171103-53.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-15 10:54:47","sdes53-Feburary 2010","FL171103.txt","SDES IMPORT v3.2","0"
36,939,"CR771004-47.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-11 09:07:58","sdes47-08/2008","AL771004.txt","SDES IMPORT v3.2","0"
37,870,"CR771201-55.mdb","Summer SEAMAP Groundfish Survey","M","2016-08-11 09:09:11","sdes54-September 2011","AL771201.txt","SDES IMPORT v3.2","0"
38,869,"CR771203-55.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-11 09:10:42","sdes54-September 2011","AL771203.txt","SDES IMPORT v3.2","0"
39,954,"CR771401-55.mdb","Summer SEAMAP Groundfish Survey","M","2016-08-11 09:11:42","sdes54-September 2011","AL771401.txt","SDES IMPORT v3.2","0"
40,979,"CR771403-55.mdb","Fall SEAMAP Groundfish Survey","M","2016-08-11 09:12:52","sdes54-September 2011","AL771403.txt","SDES IMPORT v3.2","0"
41,1017,"CR771501-55.mdb","Summer SEAMAP Groundfish Survey","M","2016-08-11 09:13:47","sdes54-September 2011","AL771501.txt","SDES IMPORT v3.2","0"
42,1023,"CR771503-55.mdb","Fall SEAMAP Groundfish Survey","M","2016-08-11 09:14:50","sdes54-September 2011","AL771503.txt","SDES IMPORT v3.2","0"
70,942,"CR040290-53.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-12 11:38:37","sdes53-Feburary 2010","US040290.txt","SDES IMPORT v3.2","0"
69,941,"CR040292-53cmb.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-12 10:34:24","sdes53-Feburary 2010","US040292.txt","SDES IMPORT v3.2","0"
71,945,"CR040289-53.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-12 12:50:06","sdes53 - February 2010","US040289.txt","SDES IMPORT v3.2","0"
72,947,"CR040287cmb-53.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-12 14:54:59","sdes53 - February 2010","US040287.txt","SDES IMPORT v3.2","0"
73,948,"CR040284-50.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-12 16:02:22","sdes50 - January 2009","US040284.txt","SDES IMPORT v3.2","0"
74,949,"CR040282-50.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-12 17:11:47","sdes50 - January 2009","US040282.txt","SDES IMPORT v3.2","0"
59,914,"CR040304-55.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-11 10:54:17","sdes54-September 2011","US040304.txt","SDES IMPORT v3.2","0"
60,974,"CR040306-55.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-11 11:18:29","sdes54-September 2011","US040306.txt","SDES IMPORT v3.2","0"
61,1018,"CR040308-55.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-11 12:21:42","sdes54-September 2011","US040308.txt","SDES IMPORT v3.2","0"
62,1020,"CR040310-55.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-11 13:05:48","sdes54-September 2011","US040310.txt","SDES IMPORT v3.2","0"
63,1032,"CR040313-55-fathoms.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-11 14:20:18","sdes54-September 2011","US040313.txt","SDES IMPORT v3.2","0"
64,1033,"CR040315-55-fathoms.mdb","Fall SEAMAP groundfish Survey","F","2016-08-11 15:10:41","sdes54-September 2011","US040315.txt","SDES IMPORT v3.2","0"
65,913,"CR040301-55.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-11 15:49:11","sdes54-September 2011","US040301.txt","SDES IMPORT v3.2","0"
66,901,"CR040299-55.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-12 09:42:26","sdes54-September 2011","US040299.txt","SDES IMPORT v3.2","0"
67,874,"CR040297-54.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-11 17:36:59","sdes54-September 2011","US040297.txt","SDES IMPORT v3.2","0"
68,937,"CR040295-53cmb.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-11 18:32:54","sdes53-Feburary 2010","US040295.txt","SDES IMPORT v3.2","0"
79,940,"CR171007-53.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-15 11:10:17","sdes53-Feburary 2010","FL171007.txt","SDES IMPORT v3.2","0"
80,955,"CR171402-55.mdb","Summer SEAMAP Groundfish Survey","M","2016-08-15 11:48:03","sdes54-September 2011","FL171402.txt","SDES IMPORT v3.2","0"
81,956,"CR170904-50.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-15 12:20:57","sdes50-January 2009","FL170904.txt","SDES IMPORT v3.2","0"
82,983,"CR171406-55.mdb","Fall SEAMAP Groundfish Survey","M","2016-08-15 12:51:34","sdes54-September 2011","FL171406.txt","SDES IMPORT v3.2","0"
83,1026,"CR171503-55.mdb","Summer SEAMAP Groundfish Survey","M","2016-10-04 08:50:06","sdes54-September 2011","FL171503.txt","SDES IMPORT v3.2 ","0"
84,1034,"CR171505-55.mdb","Fall SEAMAP groundfish Survey","M","2016-08-15 13:48:25","sdes54-September 2011","FL171505.txt","SDES IMPORT v3.2","0"
93,1039,"CR170907-50.mdb","Fall SEAMAP Groundfish Survey","F","2016-08-16 10:10:08","sdes50-January 2009","FL170907.txt","SDES IMPORT v3.2","0"
145,1029,"CR171501-55-final.mdb","Spring SEAMAP Plankton Survey","M","2016-08-16 12:09:21","sdes54-September 2011","MS171501.txt","SDES IMPORT v3.2","0"
95,1041,"CR171002-53.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-16 10:46:56","sdes53-Feburary 2010","FL171002.txt","SDES IMPORT v3.2","0"
94,1040,"CR170806-44.mdb","Fall SEAMAP Groundfish Survey","M","2017-08-14 14:00:20","sdes28-08/2007","FL170806.txt","SDES IMPORT v3.2 ","0"
92,1038,"CR170803-44.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-16 09:05:41","sdes28-08/2007","FL170803.txt","SDES IMPORT v3.2","0"
96,1042,"CR750901-50.mdb","Summer SEAMAP Groundfish Survey","M","2016-08-16 08:45:31","sdes50-January 2009","FL750901.txt","SDES IMPORT v3.2","0"
97,1043,"CR751002-53.mdb","Summer SEAMAP Groundfish Survey","F","2016-08-15 15:39:13","sdes53-Feburary 2010","FL751002.txt","SDES IMPORT v3.2","0"
